Trading Day,Trading Hours,Liquid Hours
20230916,20230916:CLOSED,20230916:CLOSED
20230917,20230917:CLOSED,20230917:CLOSED
20230918,20230918:0400-20230918:2000,20230918:0930-20230918:1600
20230919,20230919:0400-20230919:2000,20230919:0930-20230919:1600
20230920,20230920:0400-20230920:2000,20230920:0930-20230920:1600
20230921,20230921:0400-20230921:2000,20230921:0930-20230921:1600
20230922,20230922:0400-20230922:2000,20230922:0930-20230922:1600
20230923,20230923:CLOSED,20230923:CLOSED
20230924,20230924:CLOSED,20230924:CLOSED
20230925,20230925:0400-20230925:2000,20230925:0930-20230925:1600
20230926,20230926:0400-20230926:2000,20230926:0930-20230926:1600
20230927,20230927:0400-20230927:2000,20230927:0930-20230927:1600
20230928,20230928:0400-20230928:2000,20230928:0930-20230928:1600
20230929,20230929:0400-20230929:2000,20230929:0930-20230929:1600
20230930,20230930:CLOSED,20230930:CLOSED
